Entity,Code,Year,Coal (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours),Population,GDP,Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2),GDP growth (annual %),Population growth (annual %)
World,OWID_WRL,1965,16322.44092,17740.36827,6823.934577,3339592688,1.87E+13,11266.8,5.571685809,2.059444327
World,OWID_WRL,1966,16512.65763,19104.36441,7426.217421,3408121405,1.97E+13,11827.392,5.79468012,2.112720004
World,OWID_WRL,1967,16247.40207,20468.91567,7961.256227,3479053821,2.04E+13,12193.792,4.432218965,2.059204331
World,OWID_WRL,1968,16493.29564,22225.38535,8668.151001,3551880700,2.15E+13,12798.352,6.209321137,2.039609536
World,OWID_WRL,1969,17008.4716,24130.44943,9510.132872,3625905514,2.27E+13,13556.8,6.148763432,2.116434426
World,OWID_WRL,1970,17244.48525,26202.09329,10350.9762,3694067955,2.39E+13,14531.424,4.861890299,2.093374105
World,OWID_WRL,1971,17139.94314,27745.80155,11048.31053,3758862000,2.49E+13,14250.006,4.335166253,2.106481113
World,OWID_WRL,1972,17338.40421,29867.50948,11634.66841,3835591000,2.60E+13,14942.956,5.776450629,2.042748026
World,OWID_WRL,1973,17862.41092,32206.67633,12153.54337,3912869000,2.78E+13,15805.59,6.566790491,1.978351298
World,OWID_WRL,1974,17872.71335,31737.45207,12408.64757,3988545000,2.84E+13,15775.574,2.018369197,1.956660153
World,OWID_WRL,1975,18217.78258,31379.57182,12377.59393,4062595000,2.88E+13,15832.19,0.737561833,1.875073894
World,OWID_WRL,1976,18888.19275,33436.49447,13084.99176,4135729000,3.03E+13,16685.092,5.355175294,1.792316147
World,OWID_WRL,1977,19444.22377,34563.85832,13487.86548,4208464000,3.15E+13,17256.832,3.95391211,1.754746301
World,OWID_WRL,1978,19659.08926,35545.19876,14034.26272,4282385000,3.29E+13,17786.004,3.958113954,1.752792086
World,OWID_WRL,1979,20578.43837,36132.25398,14902.18784,4358143000,3.40E+13,18316.106,4.156645323,1.765932351
World,OWID_WRL,1980,21082.11321,34728.24131,15019.78524,4435561000,3.47E+13,18389.62349,1.878198824,1.752835408
World,OWID_WRL,1981,21381.08784,33444.6795,15173.09253,4513612000,3.54E+13,18102.76016,1.933359096,1.767490651
World,OWID_WRL,1982,21607.77129,32375.66169,15217.6112,4594589000,3.58E+13,17910.66948,0.384739009,1.801295327
World,OWID_WRL,1983,22272.26008,32152.29241,15422.60601,4676265000,3.68E+13,18059.87169,2.439787391,1.784675772
World,OWID_WRL,1984,23246.35751,32867.61133,16685.70859,4757775000,3.85E+13,18630.13112,4.515216142,1.746986268
World,OWID_WRL,1985,24158.77054,32881.90111,17238.25674,4840905000,3.98E+13,18888.38034,3.73830685,1.748782621
World,OWID_WRL,1986,24434.12552,33894.40315,17388.7886,4926462000,4.12E+13,19224.17672,3.361494023,1.769898146
World,OWID_WRL,1987,25407.0565,34567.92886,18287.8572,5014085000,4.28E+13,19872.34247,3.637811278,1.781943517
World,OWID_WRL,1988,26164.30397,35736.80678,19135.61251,5102890000,4.46E+13,20579.35283,4.614831634,1.769166424
World,OWID_WRL,1989,26428.58778,36334.02916,20010.26924,5191642000,4.61E+13,20984.30664,3.690045822,1.741011134
World,OWID_WRL,1990,26125.71752,36754.13661,20555.37089,5279544000,4.70E+13,21241.87011,2.92182862,1.738151777
World,OWID_WRL,1991,25837.70315,36780.36112,21111.11064,5366482000,4.77E+13,21440.7506,1.445159952,1.652490533
World,OWID_WRL,1992,25754.67743,37400.62836,21212.90741,5454731000,4.85E+13,21374.43894,1.791136171,1.567583004
World,OWID_WRL,1993,25881.25539,37073.19552,21421.02259,5538633000,4.94E+13,21522.33044,1.563486513,1.559030409
World,OWID_WRL,1994,26027.21237,37882.32542,21573.29342,5621221000,5.09E+13,21663.91079,3.022676127,1.513435685
World,OWID_WRL,1995,26166.42026,38352.69791,22325.39032,5703569000,5.26E+13,22300.78778,3.030997648,1.510150108
World,OWID_WRL,1996,26827.282,39206.17407,23405.25293,5785571000,5.46E+13,22796.69551,3.385655271,1.449785197
World,OWID_WRL,1997,26868.04001,40179.75478,23390.79648,5867582000,5.68E+13,23079.40018,3.702822113,1.428446404
World,OWID_WRL,1998,26669.06593,40510.60205,23795.44616,5948661000,5.82E+13,23211.04173,2.532416348,1.390136166
World,OWID_WRL,1999,26808.32277,41336.84028,24393.92707,6028809000,6.02E+13,23375.63782,3.255703306,1.352965989
World,OWID_WRL,2000,27734.28347,41747.30842,25373.43815,6108609000,6.31E+13,24146.99356,4.388711945,1.321856141
World,OWID_WRL,2001,28174.87074,42148.06685,25801.53362,6187542000,6.46E+13,24508.48905,1.914438493,1.301235713
World,OWID_WRL,2002,29258.89831,42509.72115,26518.27189,6266534000,6.64E+13,24974.3245,2.158631993,1.276978906
World,OWID_WRL,2003,31804.60749,43520.59623,27262.35127,6345689000,6.89E+13,26110.71599,2.905080926,1.263734592
World,OWID_WRL,2004,33987.20868,45173.20033,28238.52485,6425054000,7.26E+13,27383.24112,4.448198821,1.256719349
World,OWID_WRL,2005,36451.83029,45779.40114,29065.6228,6505022000,7.61E+13,28437.19909,3.83004478,1.24962056
World,OWID_WRL,2006,38307.76836,46336.15711,29923.81715,6585255000,8.02E+13,29417.105,4.305647721,1.245000896
World,OWID_WRL,2007,40474.28993,47007.63802,31146.16529,6666389000,8.46E+13,30617.38172,4.228059675,1.238317375
World,OWID_WRL,2008,41035.15978,46814.2565,31959.42611,6748576000,8.70E+13,30835.32416,1.818551801,1.243006517
World,OWID_WRL,2009,40427.43115,46004.24472,31116.35515,6830741000,8.68E+13,30510.33767,-1.734050381,1.230697735
World,OWID_WRL,2010,42282.4673,47513.45791,33427.49678,6913280000,9.13E+13,32305.70588,4.311472256,1.216140751
World,OWID_WRL,2011,44277.59112,47982.28,34033.08509,6995854000,9.50E+13,33390.27734,3.180881833,1.184418979
World,OWID_WRL,2012,44395.06224,48569.02647,35012.27319,7079111000,9.80E+13,33726.51632,2.508079253,1.205614744
World,OWID_WRL,2013,45205.49828,49088.50592,35522.2638,7162818000,1.01E+14,34389.59593,2.614862833,1.205425482
World,OWID_WRL,2014,45233.99218,49483.64369,35738.83055,7247328000,1.05E+14,34701.37388,2.855754385,1.199494021
